| time |   in   |reset|load | inc |  out   |
| 0+   |      0 |  0  |  0  |  0  |      0 |
| 1    |      0 |  0  |  0  |  0  |      0 |
| 1+   |      0 |  0  |  0  |  1  |      0 |
| 2    |      0 |  0  |  0  |  1  |      0 |
| 2+   | -32123 |  0  |  0  |  1  |      0 |
| 3    | -32123 |  0  |  0  |  1  |      0 |
| 3+   | -32123 |  0  |  1  |  1  |      0 |
| 4    | -32123 |  0  |  1  |  1  | -32123 |
| 4+   | -32123 |  0  |  0  |  1  | -32123 |
| 5    | -32123 |  0  |  0  |  1  | -32123 |
| 5+   | -32123 |  0  |  0  |  1  | -32123 |
| 6    | -32123 |  0  |  0  |  1  | -32123 |
| 6+   |  12345 |  0  |  1  |  0  | -32123 |
| 7    |  12345 |  0  |  1  |  0  |  12345 |
| 7+   |  12345 |  1  |  1  |  0  |  12345 |
| 8    |  12345 |  1  |  1  |  0  |  12345 |
