|time| inM  |  instruction   |reset| outM  |writeM |addre| pc  |DRegiste|
|0+  |     0|0011000000111001|  0  |      0|   0   |    0|    0|      0 |
|1   |     0|0011000000111001|  0  |      0|   0   |12345|    1|      0 |
|1+  |     0|1110110000010000|  0  |  12345|   0   |12345|    1|  12345 |
|2   |     0|1110110000010000|  0  |  12345|   0   |12345|    2|  12345 |
|2+  |     0|0101101110100000|  0  |      0|   0   |12345|    2|  12345 |
|3   |     0|0101101110100000|  0  |      0|   0   |23456|    3|  12345 |
|3+  |     0|1110000111010000|  0  |  11111|   0   |23456|    3|  11111 |
|4   |     0|1110000111010000|  0  |  12345|   0   |23456|    4|  11111 |
|4+  |     0|0000001111101000|  0  |      0|   0   |23456|    4|  11111 |
|5   |     0|0000001111101000|  0  |      0|   0   | 1000|    5|  11111 |
|5+  |     0|1110001100001000|  0  |  11111|   1   | 1000|    5|  11111 |
|6   |     0|1110001100001000|  0  |  11111|   1   | 1000|    6|  11111 |
|6+  |     0|0000001111101001|  0  |      0|   0   | 1000|    6|  11111 |
|7   |     0|0000001111101001|  0  |      0|   0   | 1001|    7|  11111 |
|7+  |     0|1110001110011000|  0  |  11110|   1   | 1001|    7|  11110 |
|8   |     0|1110001110011000|  0  |  11109|   1   | 1001|    8|  11110 |
|8+  |     0|0000001111101000|  0  |      0|   0   | 1001|    8|  11110 |
|9   |     0|0000001111101000|  0  |      0|   0   | 1000|    9|  11110 |
|9+  | 11111|1111010011010000|  0  |  10110|   0   | 1000|    9|  10110 |
|10  | 11111|1111010011010000|  0  |   9110|   0   | 1000|   10|  10110 |
|10+ | 11111|0000000000001110|  0  |   9062|   0   | 1000|   10|  10110 |
|11  | 11111|0000000000001110|  0  |   9062|   0   |   14|   11|  10110 |
|11+ | 11111|1110001100000100|  0  |  10110|   0   |   14|   11|  10110 |
|12  | 11111|1110001100000100|  0  |  10110|   0   |   14|   14|  10110 |
|12+ | 11111|0000001111100111|  0  |   9062|   0   |   14|   14|  10110 |
|13  | 11111|0000001111100111|  0  |   9062|   0   |  999|   15|  10110 |
|13+ | 11111|1110110111100000|  0  |   1000|   0   |  999|   15|  10110 |
|14  | 11111|1110110111100000|  0  |   1000|   0   |  999|   16|  10110 |
|14+ | 11111|1110001100001000|  0  |  10110|   1   |  999|   16|  10110 |
|15  | 11111|1110001100001000|  0  |  10110|   1   |  999|   17|  10110 |
|15+ | 11111|0000000000010101|  0  |   9062|   0   |  999|   17|  10110 |
|16  | 11111|0000000000010101|  0  |   9062|   0   |   21|   18|  10110 |
|16+ | 11111|1110011111000010|  0  |  10111|   0   |   21|   18|  10110 |
|17  | 11111|1110011111000010|  0  |  10111|   0   |   21|   21|  10110 |
|17+ | 11111|0000000000000010|  0  |   9062|   0   |   21|   21|  10110 |
|18  | 11111|0000000000000010|  0  |   9062|   0   |    2|   22|  10110 |
|18+ | 11111|1110000010010000|  0  |  10112|   0   |    2|   22|  10112 |
|19  | 11111|1110000010010000|  0  |  10114|   0   |    2|   23|  10112 |
|19+ | 11111|0000001111101000|  0  |   8960|   0   |    2|   23|  10112 |
|20  | 11111|0000001111101000|  0  |   8960|   0   | 1000|   24|  10112 |
|20+ | 11111|1110111010010000|  0  |     -1|   0   | 1000|   24|     -1 |
|21  | 11111|1110111010010000|  0  |     -1|   0   | 1000|   25|     -1 |
|21+ | 11111|1110001100000001|  0  |     -1|   0   | 1000|   25|     -1 |
|22  | 11111|1110001100000001|  0  |     -1|   0   | 1000|   26|     -1 |
|22+ | 11111|1110001100000010|  0  |     -1|   0   | 1000|   26|     -1 |
|23  | 11111|1110001100000010|  0  |     -1|   0   | 1000| 1000|     -1 |
|23+ | 11111|1110001100000011|  0  |     -1|   0   | 1000| 1000|     -1 |
|24  | 11111|1110001100000011|  0  |     -1|   0   | 1000| 1000|     -1 |
|24+ | 11111|1110001100000100|  0  |     -1|   0   | 1000| 1000|     -1 |
